warming,damages
3.046,1.65725E+14
3.046,1.02464E+14
3.046,1.59582E+14
3.046,1.74451E+14
3.046,2.16402E+14
3.046,1.73976E+14
3.366702557,2.42591E+14
3.366702557,2.32596E+14
3.366702557,2.00388E+14
3.366702557,2.26483E+14
3.366702557,1.98093E+14
3.366702557,1.86635E+14
3.366702557,2.14434E+14
3.366702557,2.49597E+14
3.366702557,2.65222E+14
3.403726578,2.26128E+14
3.403726578,2.04732E+14
3.403726578,2.71431E+14
3.403726578,1.88057E+14
3.403726578,2.23523E+14
3.403726578,1.85233E+14
3.403726578,2.40997E+14
3.403726578,1.94066E+14
3.403726578,2.2861E+14
3.403726578,2.29615E+14
3.530650139,1.96336E+14
3.530650139,2.78492E+14
3.530650139,1.646E+14
3.530650139,2.33995E+14
3.530650139,1.69986E+14
3.530650139,2.27628E+14
3.56096983,2.73352E+14
3.56096983,2.52241E+14
3.56096983,2.18919E+14
3.56096983,1.89113E+14
3.56096983,2.74586E+14
3.56096983,2.1752E+14
3.56096983,1.84754E+14
3.635104179,2.8479E+14
3.635104179,2.22723E+14
3.635104179,2.75336E+14
3.635104179,2.25757E+14
3.635104179,2.22133E+14
3.635104179,3.06028E+14
3.635104179,2.70335E+14
3.635104179,2.61566E+14
3.635104179,2.48326E+14
3.635104179,2.24912E+14
3.656409264,2.81324E+14
3.656409264,2.38459E+14
3.656409264,2.82928E+14
3.656409264,2.52226E+14
3.656409264,2.87951E+14
3.656409264,2.49422E+14
3.656409264,1.89967E+14
3.682137251,2.51078E+14
3.682137251,2.48811E+14
3.682137251,2.50552E+14
3.682137251,2.48722E+14
3.682137251,3.07375E+14
3.682137251,3.2951E+14
3.682137251,3.0989E+14
3.682137251,3.43699E+14
3.709625244,2.81007E+14
3.709625244,3.13163E+14
3.709625244,2.46273E+14
3.709625244,2.45697E+14
3.709625244,3.34267E+14
3.709625244,3.01259E+14
3.709625244,2.47368E+14
3.709625244,2.68579E+14
3.709625244,2.96929E+14
3.709625244,2.96701E+14
3.74050355,2.71204E+14
3.74050355,2.28088E+14
3.74050355,2.05463E+14
3.74050355,2.61287E+14
3.74050355,2.83233E+14
3.74050355,3.12945E+14
3.74050355,2.92534E+14
3.74050355,2.73904E+14
3.74050355,2.76571E+14
3.74050355,2.75565E+14
4.126,2.42436E+14
4.126,3.60143E+14
4.126,3.33489E+14
4.126,3.12225E+14
4.126,3.62598E+14
4.126,3.98084E+14
4.126,3.1719E+14
4.126,3.07079E+14
4.126,2.81558E+14
4.126,2.95023E+14
4.126,3.23403E+14
4.126,3.50803E+14
4.126,2.72247E+14
4.126,3.459E+14
4.126,3.12706E+14
4.126,3.09704E+14
4.126,3.26431E+14
4.126,3.16785E+14
4.126,3.2848E+14
4.126,2.96139E+14
4.126,4.25651E+14
4.126,2.84636E+14
4.336750507,3.33547E+14
4.336750507,3.5779E+14
4.336750507,3.23799E+14
4.336750507,3.81532E+14
4.336750507,3.60737E+14
4.336750507,4.21011E+14
4.405502319,3.61381E+14
4.405502319,4.19283E+14
4.405502319,3.83065E+14
4.405502319,2.79007E+14
4.405502319,3.74277E+14
4.405502319,3.50413E+14
4.405502319,3.6225E+14
4.405502319,4.0279E+14
4.405502319,3.75376E+14
4.4174757,4.38266E+14
4.4174757,2.97863E+14
4.4174757,3.62051E+14
4.4174757,4.13575E+14
4.4174757,3.62001E+14
4.4174757,3.45075E+14
4.4174757,4.24762E+14
4.4174757,2.80577E+14
4.4174757,3.70484E+14
4.4174757,3.05596E+14
4.4174757,4.26498E+14
4.4174757,3.68077E+14
4.418580532,3.35057E+14
4.418580532,4.23297E+14
4.418580532,4.26369E+14
4.418580532,4.29823E+14
4.418580532,3.54163E+14
4.418580532,3.99263E+14
4.418580532,4.03785E+14
4.418580532,3.93855E+14
4.418580532,4.19504E+14
4.549578667,4.83158E+14
4.549578667,3.895E+14
4.549578667,3.27249E+14
4.549578667,3.80476E+14
4.549578667,4.13595E+14
4.549578667,3.86294E+14
4.549578667,4.13441E+14
4.549578667,4.30256E+14
4.549578667,4.32867E+14
4.549578667,2.887E+14
4.643170357,3.92346E+14
4.643170357,3.61317E+14
4.643170357,4.71715E+14
4.643170357,3.83581E+14
4.643170357,4.16382E+14
4.643170357,3.57959E+14
4.643170357,4.09299E+14
4.643170357,4.23223E+14
4.643170357,4.15185E+14
4.643170357,4.23161E+14
4.643170357,4.36947E+14
4.746893406,4.63152E+14
4.746893406,4.66942E+14
4.746893406,4.79866E+14
4.746893406,4.06252E+14
4.746893406,3.96396E+14
4.746893406,4.7092E+14
4.746893406,4.67119E+14
4.746893406,4.52501E+14
4.746893406,3.62883E+14
4.746893406,4.95418E+14
4.746893406,4.79792E+14
4.746893406,4.96772E+14
4.972887516,4.96413E+14
4.972887516,4.33584E+14
4.972887516,4.68117E+14
4.972887516,5.25197E+14
4.972887516,4.83785E+14
4.972887516,4.79392E+14
4.972887516,4.37964E+14
4.972887516,4.32129E+14
4.972887516,4.23386E+14
4.972887516,4.958E+14
5.293206692,4.77547E+14
5.293206692,5.58221E+14
5.293206692,5.12477E+14
5.293206692,5.29457E+14
5.293206692,5.13169E+14
5.293206692,5.21281E+14
5.293206692,6.19647E+14
5.293206692,5.58244E+14
5.293206692,4.59495E+14
5.293206692,5.81898E+14
5.999,7.60466E+14
5.999,6.83799E+14
5.999,6.86193E+14
5.999,6.73252E+14
5.999,6.99716E+14
5.999,6.53008E+14
5.999,7.87821E+14
5.999,6.85564E+14
5.999,6.92602E+14
5.999,7.15349E+14
5.999,6.50591E+14
5.999,7.40558E+14
5.999,5.86533E+14
5.999,7.2793E+14
5.999,7.00753E+14
5.999,6.74933E+14
5.999,7.10274E+14
5.999,7.79487E+14
5.999,7.42545E+14
6.657,9.7792E+14
6.657,7.62712E+14
6.657,8.36031E+14
6.657,8.12994E+14
6.657,8.72107E+14
6.657,7.88182E+14
6.657,7.83381E+14
6.657,9.8513E+14
6.657,7.99493E+14
6.657,7.9264E+14
6.657,7.82454E+14
6.657,8.94883E+14
6.657,7.24832E+14
6.657,7.52045E+14
6.657,8.23816E+14
6.657,8.28598E+14
6.657,8.22893E+14
9.243,1.68058E+15
9.243,1.79201E+15
9.243,1.55841E+15
9.243,1.71855E+15
9.243,1.65547E+15
9.243,1.65388E+15
9.243,1.6341E+15
9.243,1.65299E+15
9.243,1.50888E+15
9.243,1.57729E+15
9.243,1.58124E+15
9.243,1.73153E+15
9.243,1.58477E+15
9.243,1.67564E+15
9.243,1.71046E+15
9.243,1.62983E+15
9.243,1.70386E+15
9.243,1.70244E+15
9.243,1.71546E+15
9.243,1.53806E+15
9.243,1.7452E+15
9.243,1.68507E+15
9.243,1.59712E+15
