warming,damages
0.69,6.80024E+12
0.69,1.61824E+13
0.69,2.36951E+13
0.69,1.65238E+13
0.69,-3.0264E+12
0.69,1.36706E+13
0.69,1.09127E+13
0.69,-2.34963E+12
0.69,7.35081E+12
0.69,8.96362E+12
0.69,1.32564E+13
0.735718548,7.82457E+12
0.735718548,9.06791E+12
0.735718548,5.49473E+12
0.735718548,1.40866E+13
0.735718548,1.60611E+13
0.735718548,5.81126E+12
0.735718548,1.97769E+13
0.837,1.27978E+13
0.837,5.98305E+12
0.837,2.61236E+13
0.837,1.19214E+13
0.9079999,1.32818E+12
0.9079999,1.90475E+13
0.9079999,1.43345E+13
0.9079999,2.77777E+13
0.9079999,2.38729E+13
0.9079999,1.90658E+13
0.9079999,1.59371E+13
0.9079999,3.07796E+13
0.9079999,8.62667E+12
0.9079999,8.8403E+12
0.9079999,2.04397E+13
0.9079999,2.6286E+13
0.9079999,1.31651E+13
0.982891202,1.99298E+13
0.982891202,2.52685E+13
0.982891202,2.84935E+13
0.982891202,2.23822E+13
0.982891202,2.15209E+13
0.982891202,1.87226E+13
0.982891202,2.70436E+13
0.982891202,3.42125E+13
0.982891202,6.22441E+12
0.982891202,-1.28436E+12
0.982891202,4.35922E+12
1.085239768,1.18254E+13
1.085239768,4.09672E+13
1.085239768,3.55391E+13
1.085239768,3.87086E+13
1.085239768,8.79968E+12
1.085239768,1.96477E+13
1.085239768,1.24079E+13
1.085239768,2.67566E+13
1.299800158,4.98059E+13
1.299800158,2.47165E+13
1.299800158,8.23629E+11
1.299800158,2.37395E+13
1.299800158,2.79607E+13
1.362897277,5.09877E+13
1.362897277,6.29465E+13
1.362897277,3.98299E+13
1.362897277,4.93285E+13
1.362897277,4.93945E+13
1.362897277,3.51764E+13
1.362897277,2.82602E+13
1.418968439,4.59828E+13
1.418968439,5.53946E+13
1.418968439,3.06373E+13
1.418968439,3.72874E+13
1.418968439,3.91291E+13
1.418968439,6.51622E+13
1.418968439,7.26566E+13
1.472866297,3.4597E+13
1.472866297,5.36604E+13
1.472866297,6.09568E+13
1.472866297,3.69959E+13
1.472866297,3.09421E+13
1.472866297,3.78428E+13
1.472866297,4.29698E+13
1.472866297,3.67686E+13
1.472866297,6.68953E+13
1.472866297,5.18348E+13
1.498312354,6.3488E+13
1.498312354,2.73294E+13
1.498312354,6.06203E+13
1.498312354,4.65929E+13
1.498312354,1.9692E+13
1.498312354,3.64752E+13
1.499695301,1.95536E+13
1.499695301,3.43543E+13
1.499695301,3.28528E+13
1.499695301,2.54083E+13
1.499695301,3.77982E+13
1.499695301,5.65451E+13
1.499695301,2.78084E+13
1.499695301,6.15524E+13
1.511463046,2.70443E+13
1.511463046,5.43484E+13
1.511463046,4.99109E+13
1.511463046,7.21915E+13
1.511463046,4.37252E+13
1.511463046,4.86767E+13
1.511463046,6.10589E+13
1.511463046,4.18535E+13
1.511463046,5.52289E+13
1.511463046,5.26176E+13
1.599378109,5.61755E+13
1.599378109,4.43303E+13
1.599378109,5.09611E+13
1.599378109,4.05246E+13
1.599378109,5.62925E+13
1.599378109,5.87108E+13
1.599378109,6.50516E+13
1.704531193,6.93536E+13
1.704531193,8.18044E+13
1.704531193,5.82102E+13
1.704531193,5.76379E+13
1.704531193,3.81097E+13
1.704531193,8.86156E+13
1.704531193,8.04025E+13
1.704531193,3.54649E+13
1.704531193,7.06135E+13
1.836962223,7.26102E+13
1.836962223,7.21904E+13
1.836962223,6.09449E+13
1.836962223,6.43422E+13
